station_key,longitude,latitude
Aachen,6.15284760004655,50.7621863630819
Aix-Marseille,5.36940268206746,43.4223019463022
Amsterdam,4.83547866940736,52.283852752212
Antwerp,4.37718927103876,51.1302033646883
Autohaus Gegner (external),51.480543, 12.663986
Augsburg,10.864554267433,48.4314947245095
Barcelona,2.02997321918418,41.320791206754
Bergamo,9.58695709803728,45.6057540943007
Bergen,5.23394993714433,60.2742488137421
Berlin,13.3255919532439,52.5629114116713
Berlin-Schönefeld,13.5614026820795,52.3681032736909
Bern,7.38326250147171,47.0363707432318
Bielefeld,8.50980212259074,52.0846641356676
Bilbao,-2.87875811552007,43.2876533808652
Bochum,7.29813759223426,51.4897198571662
Bologna,11.1721377220591,44.5126837064221
Bordeaux,-0.693445457672454,44.8206554252745
Bremen,8.86621907389118,53.0173957132126
Bristol,-2.695953574802,51.3858671629298
Brussels,4.25150432526115,50.760744771265
Calgary,-114.075005364562,50.969913510738
Cologne-Bonn,6.8114980627927,50.8209154712882
Cologne-Bonn ext. parking,6.8114980627927,50.8209154712882
Cologne-Dusseldorf,6.82141436898757,51.1072589267573
Constance,8.86502954565032,47.8327956443909
Denver,-105.00084552166,39.7921902722628
Dresden,13.7573403423847,51.0856345629205
Dublin,-6.24297024589976,53.405098644558
Duisburg,6.75195504054242,51.3955266542638
Edinburgh,-3.4998703611585,55.9203722849934
Erfurt,11.0056467126836,51.0305278758203
Faro,-7.99232906026722,37.0791112680249
Florence,11.0998003838334,43.8571151344533
Frankfurt,8.75666667946883,50.1224930915775
Frankfurt Sales,8.75666667946883,50.1224930915775
Frankfurt ext. parking,8.75666667946883,50.1224930915775
Freiburg-Basel (Germany),7.64729235889624,48.0353507218228
GFK Workshop Munich,11.58685,48.2057
Geneva-Pays de Gex,5.96096939234604,46.2040259851054
Gothenburg,11.9427035984267,57.6584095320977
Graz,15.4782357693133,47.0370333070736
Hamburg,10.0777194694487,53.5372781053746
Hamburg ext. parking,10.0777194694487,53.5372781053746
Hannover,9.90545690170319,52.3618517149595
Hannover ext. parking,9.90545690170319,52.3618517149595
Heidelberg,8.68006499252568,49.3966909811122
Innsbruck,11.7923666214663,47.3924992984538
Karlsruhe,8.37640744141424,48.9364325295316
Kassel,9.54382244318686,51.296632088871
Kiel,10.1395202406375,54.2770976219994
Las Vegas,-115.089257018076,36.2206389052088
Leipzig,12.4377840270493,51.3592094686168
Lille,3.04002304076255,50.5615306671805
Lindau-Wangen,9.83841639809882,47.6859473389651
Linz,14.1613864693521,48.206408022378
Lisbon,-9.03918078865096,38.9049991132617
London,-0.420223830619195,51.4666744905182
Los Angeles,-118.352011846438,33.9243055757359
Lyon,5.06276781295798,45.8438149405444
Lübeck,53.7510834041174,10.559496155964
Madrid,-3.58068864443317,40.3952177684698
Mainz,8.30125525584245,50.0082020667002
Malaga,-4.5420678887033,36.7264182697619
Malmo,13.1890692770248,55.6302608870753
Manchester,-2.29482858637571,53.3965087402589
Marburg,8.7711165405243,50.8289635251408
Miami,-80.1918,25.7617
Milan,8.88696056920122,45.6052743121763
Mosolf Buch (external),10.24205,48.20988
Mosolf Schöneck  (external),50.204631, 8.861405
Munich,11.586918825675,48.2054594833753
Nantes,-1.512541123145,47.2227756487091
Nice,7.17947630359195,43.7512499350067
Nuremberg,49.4439155327726,10.9948355497419
Oslo,11.1858078408444,60.1522568132888
Paris,2.287274173819,48.7006418117762
Paris Airport (CDG),2.46619085914913,49.022779993213
Phoenix, -112.0792,33.4099
Porto,-8.69290118858975,41.3005784915523
Regensburg,12.1856846269741,48.9746637253456
Rome,12.3243661267677,41.8067739602373
Rotterdam,4.39762785404939,51.8601966275572
Salt Lake City,-112.017846144426,40.6661834136843
Salzburg,13.0348155537851,47.8260322168983
San Francisco,-122.398284044498,37.7772247726033
Seattle,-122.326185728888,47.5692798810331
Sevilla,-5.86313191567246,37.3471383220005
Stockholm,18.1106341543136,59.530286136355
Straßburg,7.787750160589,48.5421924933389
Stuttgart,9.13241531162552,48.8292948855569
Thor Industries,-86.0122,41.52879
Toulouse,1.40124159804221,43.6992313515156
Trier,6.55663793041912,49.6844988192113
Turin,7.67509471151495,45.1118628426802
Ulm,10.022120740448,48.3894010712749
Valencia,-0.458995917475746,39.3566451500567
Vancouver,-123.071514930613,49.2098504075739
Venice,12.1755081673448,45.4658545445799
Vienna,16.463317272953,48.2659494972504
Vienna-South,16.2957634922713,48.1331961388021
Würzburg,9.97126155583367,49.7314641366598
Zurich (Wetzikon),8.519,47.335
